,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Open Bid_x,Open Bid_y,Open Ask_y
2005-10-30,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
2005-10-31,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
2005-11-01,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.66,0.76
2005-11-02,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.66,0.76
2005-11-03,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.6,0.75
2005-11-04,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.66,0.76
2005-11-05,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.66,0.76
2005-11-06,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.66,0.76
2005-11-07,5.37,7.05,7.2,-7.98011512297226e-06,5.37,0.66,0.76
2005-11-08,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
2005-11-09,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.65,0.79
2005-11-10,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.62,0.76
2005-11-11,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
2005-11-12,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.57,0.71
2005-11-13,5.4,7.06,7.21,-7.855902777777781e-06,5.4,0.63,0.7
2005-11-14,5.23,6.88,7.18,-8.694489031567677e-06,5.23,0.61,0.75
2005-11-15,5.4,7.1,7.25,-8.029513888888888e-06,5.4,0.63,0.73
2005-11-16,5.4,6.96,7.26,-8.072916666666665e-06,5.4,0.61,0.76
2005-11-17,5.4,7.1,7.25,-8.029513888888888e-06,5.4,0.64,0.74
2005-11-18,5.4,7.21,7.36,-8.506944444444442e-06,5.4,0.64,0.74
2005-11-19,5.4,7.3,7.45,-8.897569444444438e-06,5.4,0.64,0.74
2005-11-20,5.4,7.3,7.45,-8.897569444444438e-06,5.4,0.64,0.74
2005-11-21,5.4,7.3,7.45,-8.897569444444438e-06,5.4,0.64,0.74
